carat,cut,color,clarity,price
0.3,3,0,2,6.353
1.01,4,1,5,9.183
0.72,4,2,4,7.983
1.08,2,3,2,8.371
0.36,3,3,3,6.588
0.53,4,2,3,7.496
1.74,3,4,1,8.979
0.33,4,1,5,6.877
0.32,2,1,4,6.554
0.27,4,1,5,6.683
0.63,4,0,1,7.484
0.31,4,3,4,6.353
0.53,4,2,3,7.554
0.7,2,4,3,7.671
0.74,2,4,1,7.794
1.29,2,5,4,8.727
0.71,4,0,1,8.087
0.32,4,3,1,6.23
0.52,4,3,3,7.451
0.42,3,3,6,7.072
1.06,3,1,2,8.445
0.58,4,5,6,7.365
1.5,0,5,1,8.976
0.3,4,3,7,6.76
1.0,0,2,3,8.671
0.51,4,2,6,7.911
1.2,3,3,4,8.961
0.41,4,3,7,7.266
0.42,4,1,3,7.074
1.12,3,4,2,8.456
1.22,3,5,1,8.606
0.5,2,4,1,7.033
0.31,3,3,1,6.385
0.56,4,0,4,7.633
0.32,4,4,2,6.04
0.72,4,6,1,7.525
1.08,2,4,1,8.573
0.31,1,0,1,6.347
0.33,4,3,7,6.852
0.7,4,1,2,7.631
2.53,3,4,2,9.626
1.0,1,4,1,8.361
0.37,4,0,4,7.025
0.3,4,1,6,6.797
1.7,2,6,1,9.09
0.32,4,5,4,6.356
0.54,3,1,3,7.866
0.34,4,3,3,6.579
1.22,4,4,1,8.971
0.7,2,0,3,8.179
1.22,3,2,1,8.837
1.61,3,0,1,9.412
0.71,2,1,4,8.115
0.32,2,5,1,5.961
0.54,4,1,1,7.483
1.0,4,5,2,8.094
0.3,3,3,3,6.654
1.0,2,2,2,8.302
0.38,4,1,7,7.268
0.42,4,1,4,6.931
0.74,4,1,1,7.93
0.7,4,2,1,7.71
0.61,1,0,2,7.261
1.21,4,2,0,8.384
1.28,4,3,1,8.936
1.26,2,3,1,8.976
0.4,3,0,3,7.09
0.3,3,4,6,6.528
0.3,4,5,6,6.564
0.81,4,1,2,8.039
0.32,4,1,4,6.554
0.51,4,3,3,7.432
0.76,4,0,3,8.384
0.44,3,3,1,6.898
0.72,4,0,3,8.195
1.03,4,0,2,8.469
0.6,3,3,1,7.406
0.7,2,3,1,7.73
1.1,2,3,6,9.133
0.3,4,2,3,6.594
0.78,1,3,1,7.777
1.13,3,3,6,9.09
0.56,4,0,1,7.364
0.77,3,5,3,7.834
0.51,3,5,4,7.072
2.09,1,6,4,9.357
0.36,4,3,6,6.959
1.26,4,1,5,9.568
0.33,3,4,7,6.918
0.51,2,5,1,6.974
0.31,3,2,4,6.687
